"Severity","ThreadID","Date","Time","Application","Message"
"INFO","main","05/13/2025","22:59:55","extract-extension","Extract the extension [7E673D15-D87C-41A6-8B5F1956528C605F-9.1.0.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Copy extension [7E673D15-D87C-41A6-8B5F1956528C605F-9.1.0.lex] to temp directory [/tmp/7E673D15-D87C-41A6-8B5F1956528C605F-9.1.0.lex]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Extract the extension [99A4EF8D-F2FD-40C8-8FB8C2E67A4EEEB6-12.6.3.jre11.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Copy extension [99A4EF8D-F2FD-40C8-8FB8C2E67A4EEEB6-12.6.3.jre11.lex] to temp directory [/tmp/99A4EF8D-F2FD-40C8-8FB8C2E67A4EEEB6-12.6.3.jre11.lex]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Extract the extension [671B01B8-B3B3-42B9-AC055A356BED5281-42.7.4.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Copy extension [671B01B8-B3B3-42B9-AC055A356BED5281-42.7.4.lex] to temp directory [/tmp/671B01B8-B3B3-42B9-AC055A356BED5281-42.7.4.lex]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Extract the extension [2BCD080F-4E1E-48F5-BEFE794232A21AF6-1.3.1.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Copy extension [2BCD080F-4E1E-48F5-BEFE794232A21AF6-1.3.1.lex] to temp directory [/tmp/2BCD080F-4E1E-48F5-BEFE794232A21AF6-1.3.1.lex]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Extract the extension [17AB52DE-B300-A94B-E058BD978511E39E-2.0.2.21.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Copy extension [17AB52DE-B300-A94B-E058BD978511E39E-2.0.2.21.lex] to temp directory [/tmp/17AB52DE-B300-A94B-E058BD978511E39E-2.0.2.21.lex]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Extract the extension [87FE44E5-179C-43A3-A87B3D38BEF4652E-2.10.0.36.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:55","extract-extension","Copy extension [87FE44E5-179C-43A3-A87B3D38BEF4652E-2.10.0.36.lex] to temp directory [/tmp/87FE44E5-179C-43A3-A87B3D38BEF4652E-2.10.0.36.lex]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Extract the extension [66E312DD-D083-27C0-64189D16753FD6F0-1.2.0.10.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Copy extension [66E312DD-D083-27C0-64189D16753FD6F0-1.2.0.10.lex] to temp directory [/tmp/66E312DD-D083-27C0-64189D16753FD6F0-1.2.0.10.lex]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Extract the extension [CED6227E-0F49-6367-A68D21AACA6B07E8-1.0.0.5.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Copy extension [CED6227E-0F49-6367-A68D21AACA6B07E8-1.0.0.5.lex] to temp directory [/tmp/CED6227E-0F49-6367-A68D21AACA6B07E8-1.0.0.5.lex]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Extract the extension [D46D49C3-EB85-8D97-30BEC2F38561E985-1.0.0.4.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Copy extension [D46D49C3-EB85-8D97-30BEC2F38561E985-1.0.0.4.lex] to temp directory [/tmp/D46D49C3-EB85-8D97-30BEC2F38561E985-1.0.0.4.lex]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Extract the extension [B737ABC4-D43F-4D91-8E8E973E37C40D1B-2.0.0.29.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:56","extract-extension","Copy extension [B737ABC4-D43F-4D91-8E8E973E37C40D1B-2.0.0.29.lex] to temp directory [/tmp/B737ABC4-D43F-4D91-8E8E973E37C40D1B-2.0.0.29.lex]"
"INFO","main","05/13/2025","22:59:57","extract-extension","Extract the extension [37C61C0A-5D7E-4256-8572639BE0CF5838-2.2.4.18.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:57","extract-extension","Copy extension [37C61C0A-5D7E-4256-8572639BE0CF5838-2.2.4.18.lex] to temp directory [/tmp/37C61C0A-5D7E-4256-8572639BE0CF5838-2.2.4.18.lex]"
"INFO","main","05/13/2025","22:59:57","extract-extension","Extract the extension [8D7FB0DF-08BB-1589-FE3975678F07DB17-1.0.0.15.lex] from the lucee.jar to the local extension folder [/usr/local/lib/serverHome/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","05/13/2025","22:59:57","extract-extension","Copy extension [8D7FB0DF-08BB-1589-FE3975678F07DB17-1.0.0.15.lex] to temp directory [/tmp/8D7FB0DF-08BB-1589-FE3975678F07DB17-1.0.0.15.lex]"
"INFO","main","05/13/2025","22:59:57","controller","Copied [12] bundled extension(s) to local extension directory"
"INFO","main","05/13/2025","22:59:57","controller","Found Extensions to install (new;new-fresh):7E673D15-D87C-41A6-8B5F1956528C605F;name=MySQL;label=MySQL;version=9.1.0, 99A4EF8D-F2FD-40C8-8FB8C2E67A4EEEB6;name=MSSQL;label=MS SQL Server;version=12.6.3.jre11, 671B01B8-B3B3-42B9-AC055A356BED5281;name=PostgreSQL;label=PostgreSQL;version=42.7.4, 2BCD080F-4E1E-48F5-BEFE794232A21AF6;name=JDTsSQL;label=jTDS (MSSQL);version=1.3.1, CED6227E-0F49-6367-A68D21AACA6B07E8;name=Admin;label=Lucee Administrator;version=1.0.0.5, D46D49C3-EB85-8D97-30BEC2F38561E985;name=Doc;label=Lucee Documentation;version=1.0.0.4, 17AB52DE-B300-A94B-E058BD978511E39E;name=S3;label=S3;version=2.0.2.21, 87FE44E5-179C-43A3-A87B3D38BEF4652E;name=EHCache;label=EHCache;version=2.10.0.36, 66E312DD-D083-27C0-64189D16753FD6F0;name=PDF;label=PDF;version=1.2.0.10, B737ABC4-D43F-4D91-8E8E973E37C40D1B;name=Image;label=Image;version=2.0.0.29;since=5.3.0.35-ALPHA, 37C61C0A-5D7E-4256-8572639BE0CF5838;name=Esapi;label=ESAPI;version=2.2.4.18;since=5.3.0.37-ALPHA, 8D7FB0DF-08BB-1589-FE3975678F07DB17;name=Compress;label=Compress;version=1.0.0.15;since=5.3.2.31-SNAPSHOT"
"INFO","main","05/13/2025","22:59:57","extension","Update JDBC Driver [MySQL:class:com.mysql.cj.jdbc.Driver;name:com.mysql.cj;version:9.1.0;] from extension [MySQL:9.1.0]"
"INFO","main","05/13/2025","22:59:58","extension","Update JDBC Driver [Microsoft SQL Server (Vendor Microsoft):class:com.microsoft.sqlserver.jdbc.SQLServerDriver;name:org.lucee.mssql;version:12.6.3.jre11;] from extension [Microsoft SQL Server (Vendor Microsoft):12.6.3.jre11]"
"INFO","main","05/13/2025","22:59:58","extension","Update JDBC Driver [PostgreSQL:class:org.postgresql.Driver;name:org.postgresql.jdbc;version:42.7.4;] from extension [PostgreSQL:42.7.4]"
"INFO","main","05/13/2025","22:59:58","extension","Update JDBC Driver [jTDS (MSSQL,Sybase):class:net.sourceforge.jtds.jdbc.Driver;name:jtds;version:1.3.1;] from extension [jTDS (MSSQL,Sybase):1.3.1]"
"INFO","main","05/13/2025","22:59:59","extension","Update resource provider [s3] from extension [S3 Resource Extension:2.0.2.21]"
"INFO","main","05/13/2025","23:00:01","extension","Update cache [class:org.lucee.extension.cache.eh.EHCache;name:ehcache.extension;version:2.10.0.36;] from extension [EHCache:2.10.0.36]"
"INFO","main","05/13/2025","23:00:03","controller","Successfully installed the following extensions: 87FE44E5-179C-43A3-A87B3D38BEF4652E;name=EHCache;label=EHCache;version=2.10.0.36, B737ABC4-D43F-4D91-8E8E973E37C40D1B;name=Image;label=Image;version=2.0.0.29;since=5.3.0.35-ALPHA, 99A4EF8D-F2FD-40C8-8FB8C2E67A4EEEB6;name=MSSQL;label=MS SQL Server;version=12.6.3.jre11, D46D49C3-EB85-8D97-30BEC2F38561E985;name=Doc;label=Lucee Documentation;version=1.0.0.4, 8D7FB0DF-08BB-1589-FE3975678F07DB17;name=Compress;label=Compress;version=1.0.0.15;since=5.3.2.31-SNAPSHOT, 7E673D15-D87C-41A6-8B5F1956528C605F;name=MySQL;label=MySQL;version=9.1.0, CED6227E-0F49-6367-A68D21AACA6B07E8;name=Admin;label=Lucee Administrator;version=1.0.0.5, 66E312DD-D083-27C0-64189D16753FD6F0;name=PDF;label=PDF;version=1.2.0.10, 671B01B8-B3B3-42B9-AC055A356BED5281;name=PostgreSQL;label=PostgreSQL;version=42.7.4, 2BCD080F-4E1E-48F5-BEFE794232A21AF6;name=JDTsSQL;label=jTDS (MSSQL);version=1.3.1, 37C61C0A-5D7E-4256-8572639BE0CF5838;name=Esapi;label=ESAPI;version=2.2.4.18;since=5.3.0.37-ALPHA, 17AB52DE-B300-A94B-E058BD978511E39E;name=S3;label=S3;version=2.0.2.21"
"INFO","main","05/13/2025","23:01:50","controller","No extension(s) found to add/install"
